TYPE,PARAM 1,PARAM 2,PARAM 3,PARAM 4
TITLE,ONDAS DO BRANDING,"<strong>A SUA ORGANIZAÇÃO CONSTRÓI VALOR NAS ONDAS DO BRANDING?</strong>Com o framework das Ondas do Branding, alinhamos as estratégias de Marca, Negócio e Comunicação nas Ondas para identificar onde estamos construindo valor e onde estamos desperdiçando. Assim, temos os insumos para trabalhar desafios específicos que potencializam a geração de valor em todas as frentes e fazer uma avaliação contínua. Com o seu ponto de vista, responda aos itens a seguir, dando uma nota de 1 a 5, e descubra como se a sua organização está construindo ou desperdiçando valor e quais os pontos de atenção.",,
ZONE,1,MARCA,,
ZONE,2,NEGÓCIO,,
ZONE,3,COMUNICAÇÃO,,
ZONE-POINTS,1,1.67,Ruim,
ZONE-POINTS,1.67,3.33,Médio,
ZONE-POINTS,3.33,5,Bom,
WAVE,1,1,HARD<br/> SELL,Marque os valores abaixo onde 1 é a menor nota e 5 a maior.
WAVE,2,2,PAPEL NA<br/> MINHA VIDA,
WAVE,3,3,VISÃO<br/> DE MUNDO,
WAVE-POINTS,1,1.67,Ruim,
WAVE-POINTS,1.67,3.33,Médio,
WAVE-POINTS,3.33,5,Bom,
QUESTION,1,1,AWARENESS,É FÁCIL DE RECONHECER?
QUESTION,2,1,LUCRO,SEU PRODUTO/SERVIÇO CUMPRE SUA PROMESSA?
QUESTION,3,1,VENDER,TEM UMA PROPOSTA DE VALOR EFICAZ?
QUESTION,1,2,RELEVÂNCIA,TEM SIGNIFICADO?
QUESTION,2,2,CRIAR VALOR,SEU PRODUTO/SERVIÇO CUMPRE SUA PROMESSA?
QUESTION,3,2,CONEXÕES EMOCIONAIS,TEM UMA NARRATIVA ATRAENTE?
QUESTION,1,3,PROPÓSITO,É GUIADA POR UM PROPÓSITO?
QUESTION,2,3,ECOSSISTEMA DE VALOR,SEU ECOSSISTEMA ESTÁ SEMPRE EM EVOLUÇÃO?
QUESTION,3,3,ENGAJAR,INSPIRA MUDANÇA E AÇÃO?
RESULTS-ZONE,Bom,Bom,Bom,"A sua pontuação mostra um bom alinhamento nas estratégias de Marca, Negócio e Comunicação. * Um passo importante, que constrói valor quando surfa bem as ondas do Branding também."
RESULTS-ZONE,Bom,Bom,Médio,Marca e Negócio estão bem. * Mas vale rever a estratégia de comunicação para potencializar ainda mais a narrativa e trazer relevância para as pessoas.
RESULTS-ZONE,Bom,Bom,Ruim,"É provável que você tenha um serviço de alto valor para o cliente, mas que desperdiça potencial de crescimento. * Que narrativa você vai criar para engajar as pessoas?"
RESULTS-ZONE,Bom,Médio,Bom,Marca e Comunicação estão bem. * Mas será que você está atento à equação custo-benefício e às oportunidades de fidelizar o seu usuário?
RESULTS-ZONE,Bom,Médio,Médio,"Marca vai além do logo e dos seus atributos visuais. * Não adianta ter uma boa construção visual e verbal, mas ter as estratégias de Negócio e Comunicação sem força. Isso desperdiça valor."
RESULTS-ZONE,Bom,Médio,Ruim,"Boa construção de Marca, mas a sua visão de negócios precisa ir além da média do mercado, oferecendo um bom produto ou serviço, e construindo boas relações com o seu público. * Vale rever a estratégia de comunicação e desenvolver narrativas que criem conexões emocionais e engagem o público para construir mais valor."
RESULTS-ZONE,Bom,Ruim,Bom,"Quando Marca e Comunicação vão bem * Mas a estratégia de Negócio não está forte, você tem uma promessa que não se materializa na prática."
RESULTS-ZONE,Bom,Ruim,Médio,Sua Marca é reconhecida pelas pessoas e atua com propósito. * A sua narrativa de Comunicação precisa engajar mais e é importante rever a estratégia de Negócio para garantir que a promessa traga valor para a organização.
RESULTS-ZONE,Bom,Ruim,Ruim,"Só a sua Marca está bem construída. * A construção de valor acontece quando Marca está bem alinhada com Negócio e Comunicação, da narrativa ao produto e serviço oferecido, do engajamento à criação de um ecossistema de impacto."
RESULTS-ZONE,Médio,Bom,Bom,"Há uma boa estratégia de Negócio e Comunicação, com narrativa diferenciada, engajadora, e boa percepção de custo-benefício e fidelização. * Mas vale investir na construção da Marca para sair da média do mercado. Para pensar: se tirar o seu logo das peças de comunicação, será que o público reconheceria que é a sua Marca?"
RESULTS-ZONE,Médio,Bom,Médio,"Só a estratégia de Negócio bem resolvida não é suficiente para construir valor. * Reveja a sua estratégia de Marca e Comunicação para criar uma Marca diferenciada e relevante para as pessoas, e uma narrativa que engaja e crie conexões emocionais."
